Python,45,*
関係,36,関係
の,24,の
$,0,1
本,38,本
は,16,は
$,1,3
30,48,*
冊,53,冊
ほど,21,ほど
$,2,3
持っ,31,持つ
て,18,て
いる,33,いる
$,3,-1
%,0
そのうち,34,そのうち
，,9,，
$,0,4
Python,45,*
プログラミング,36,プログラミング
の,24,の
$,1,2
本,38,本
は,16,は
$,2,4
6,48,*
冊,53,冊
$,3,4
持っ,31,持つ
て,18,て
いる,33,いる
が,18,が
，,9,，
$,4,8
今,67,今
でも,21,でも
$,5,6
利用,36,利用
し,31,する
て,18,て
いる,33,いる
の,63,の
は,16,は
$,6,8
この,68,この
$,7,8
1,48,*
冊,53,冊
だけ,21,だけ
$,8,-1
%,0.0
理由,38,理由
は,16,は
$,0,6
すべて,67,すべて
の,24,の
$,1,2
コード,38,コード
が,13,が
$,2,4
実際,35,実際
に,20,に
$,3,4
動作,36,動作
する,31,する
ので,18,ので
$,4,6
応用,36,応用
に,13,に
$,5,6
便利,40,便利
だ,25,だ
から,18,から
だ,25,だ
から,18,から
で,25,だ
ある,25,ある
$,6,-1
%,0.25
他,38,他
の,24,の
$,0,1
プログラミング,36,プログラミング
の,24,の
$,1,2
本,38,本
は,16,は
，,9,，
$,2,9
動か,31,動く
ない,25,ない
$,3,4
コード,38,コード
に,13,に
$,4,8
長い,10,長い
$,5,6
長い,10,長い
$,6,7
解説,36,解説
を,13,を
$,7,8
し,31,する
て,18,て
いる,33,いる
の,63,の
が,13,が
$,8,9
多い,10,多い
が,18,が
$,9,12
何,59,何
の,24,の
$,10,11
役,38,役
に,13,に
も,16,も
$,11,12
立た,31,立つ
ない,25,ない
$,12,-1
%,0.0
原著,38,原著
の,24,の
$,0,1
「,5,「
Introducing,45,*
Python,38,*
」,6,」
に,13,に
$,1,3
「,5,「
pdf,45,*
」,6,」
を,13,を
$,2,3
加え,31,加える
て,18,て
$,3,4
キーワード,38,キーワード
検索,36,検索
する,31,する
と,18,と
，,9,，
$,4,8
原著,38,原著
の,24,の
$,5,6
電子,38,電子
書籍,38,書籍
が,13,が
$,6,8
無償,38,無償
で,13,で
$,7,8
ダウンロード,36,ダウンロード
できる,31,できる
$,8,-1
%,0.0
これから,35,これから
$,0,3
すべて,67,すべて
の,24,の
$,1,2
コード,38,コード
が,13,が
$,2,3
コピペ,38,*
できる,31,できる
よう,65,よう
に,13,に
なる,31,なる
$,3,-1
%,0.0
コード,38,コード
を,13,を
$,0,3
Jupyter,45,*
Notebook,38,*
$,1,2
（,5,（
IPython,45,*
）,6,）
で,13,で
$,2,3
動作,36,動作
さ,31,する
せる,32,せる
と,18,と
$,3,7
コード,38,コード
と,13,と
$,4,5
出力,36,出力
が,13,が
$,5,7
Web,38,*
ブラウザ,38,*
で,13,で
$,6,7
見,31,見る
られる,32,られる
よう,65,よう
に,13,に
なり,31,なる
，,9,，
$,7,9
保存,36,保存
も,16,も
$,8,9
できる,31,できる
し,18,し
，,9,，
$,9,12
たいへん,35,たいへん
$,10,12
勉強,36,勉強
に,13,に
$,11,12
なる,31,なる
$,12,-1
%,0.0
教育,36,教育
の,24,の
$,0,1
目的,38,目的
に,13,に
は,16,は
$,1,2
最適,38,最適
と,14,と
$,2,3
思わ,31,思う
れる,32,れる
$,3,-1
%,0.3333333333333333
#
