メロス,38,*
は,16,は
激怒,36,激怒
し,31,する
た,25,た
%,-1.0
必ず,35,必ず
、,9,、
かの,68,かの
邪智,38,邪智
暴虐,38,暴虐
の,24,の
王,38,王
を,13,を
除か,31,除く
なけれ,25,ない
ば,18,ば
なら,33,なる
ぬ,25,ぬ
と,14,と
決意,36,決意
し,31,する
た,25,た
%,-1.0
メロス,38,*
に,13,に
は,16,は
政治,38,政治
が,13,が
わから,31,わかる
ぬ,25,ぬ
%,0
メロス,38,*
は,16,は
、,9,、
村,38,村
の,24,の
牧人,38,牧人
で,25,だ
ある,25,ある
%,0
笛,38,笛
を,13,を
吹き,31,吹く
、,9,、
羊,38,羊
と,13,と
遊ん,31,遊ぶ
で,18,で
暮し,31,暮す
て,18,て
来,33,来る
た,25,た
%,0
けれども,26,けれども
邪悪,40,邪悪
に対して,15,に対して
は,16,は
、,9,、
人一倍,40,人一倍
に,20,に
敏感,40,敏感
で,25,だ
あっ,25,ある
た,25,た
%,-1.0
きょう,67,きょう
未明,67,未明
メロス,38,*
は,16,は
村,38,村
を,13,を
出発,36,出発
し,31,する
、,9,、
野,38,野
を,13,を
越え,31,越える
山越え,38,山越え
、,9,、
十,48,十
里,38,里
は,16,は
なれ,31,なれる
た,25,た
此,38,*
の,24,の
シラクス,38,*
の,24,の
市,38,市
に,13,に
やって来,31,やって来る
た,25,た
%,0
メロス,38,*
に,13,に
は,16,は
父,38,父
も,16,も
、,9,、
母,38,母
も,16,も
無い,10,無い
%,0
女房,38,女房
も,16,も
無い,10,無い
%,0
十,48,十
六,48,六
の,24,の
、,9,、
内気,40,内気
な,25,だ
妹,38,妹
と,23,と
二,48,二
人,53,人
暮し,38,暮し
だ,25,だ
%,-0.5
この,68,この
妹,38,妹
は,16,は
、,9,、
村,38,村
の,24,の
或,68,或
る,25,り
律,38,律
気,52,気
な,25,だ
一,48,一
牧人,38,牧人
を,13,を
、,9,、
近々,34,近々
、,9,、
花婿,38,花婿
として,15,として
迎える,31,迎える
事,63,事
に,13,に
なっ,31,なる
て,18,て
い,33,いる
た,25,た
%,0.0
結婚式,38,結婚式
も,16,も
間近,67,間近
か,,か
な,17,な
の,63,の
で,25,だ
ある,25,ある
%,0
メロス,38,*
は,16,は
、,9,、
それ,59,それ
ゆえ,51,ゆえ
、,9,、
花嫁,38,花嫁
の,24,の
衣裳,38,衣裳
やら,23,やら
祝宴,38,祝宴
の,24,の
御馳走,36,御馳走
やら,21,やら
を,13,を
買い,31,買う
に,13,に
、,9,、
はるばる,34,はるばる
市,38,市
に,13,に
やって来,31,やって来る
た,25,た
の,63,の
だ,25,だ
%,0
先ず,34,先ず
、,9,、
その,68,その
品々,38,品々
を,13,を
買い,31,買う
集め,31,集める
、,9,、
それから,26,それから
都,38,都
の,24,の
大路,38,大路
を,13,を
ぶらぶら,34,ぶらぶら
歩い,31,歩く
た,25,た
%,0
メロス,38,*
に,13,に
は,16,は
竹馬,38,竹馬
の,24,の
友,38,友
が,13,が
あっ,31,ある
た,25,た
%,0
セリヌンティウス,38,*
で,25,だ
ある,25,ある
%,0
今,67,今
は,16,は
此,38,*
の,24,の
シラクス,38,*
の,24,の
市,38,市
で,13,で
、,9,、
石工,38,石工
を,13,を
し,31,する
て,18,て
いる,33,いる
%,0.0
その,68,その
友,38,友
を,13,を
、,9,、
これから,35,これから
訪ね,31,訪ねる
て,18,て
みる,33,みる
つもり,63,つもり
な,25,だ
の,63,の
だ,25,だ
%,0.0
久しく,10,久しい
逢わ,31,逢う
なかっ,25,ない
た,25,た
の,63,の
だ,25,だ
から,18,から
、,9,、
訪ね,31,訪ねる
て,18,て
行く,33,行く
の,63,の
が,13,が
楽しみ,38,楽しみ
で,25,だ
ある,25,ある
%,1.0
歩い,31,歩く
て,18,て
いる,33,いる
うち,66,うち
に,13,に
メロス,38,*
は,16,は
、,9,、
まち,38,まち
の,24,の
様子,38,様子
を,13,を
怪しく,10,怪しい
思っ,31,思う
た,25,た
%,0.0
ひっそり,35,ひっそり
し,31,する
て,18,て
いる,33,いる
%,0
もう,34,もう
既に,34,既に
日,38,日
も,16,も
落ち,31,落ちる
て,18,て
、,9,、
まち,38,まち
の,13,の
暗い,10,暗い
の,63,の
は,16,は
当り,31,当る
まえ,31,まえる
だ,25,だ
が,18,が
、,9,、
けれども,26,けれども
、,9,、
なんだか,34,なんだか
、,9,、
夜,67,夜
の,24,の
せい,63,せい
ばかり,21,ばかり
で,25,だ
は,16,は
無く,10,無い
、,9,、
市,38,市
全体,67,全体
が,13,が
、,9,、
やけに,34,やけに
寂しい,10,寂しい
%,-1.0
のんき,40,のんき
な,25,だ
メロス,38,*
も,16,も
、,9,、
だんだん,35,だんだん
不安,40,不安
に,13,に
なっ,31,なる
て,18,て
来,33,来る
た,25,た
%,-1.0
路,38,路
で,13,で
逢っ,31,逢う
た,25,た
若い衆,38,若い衆
を,13,を
つかまえ,31,つかまえる
て,18,て
、,9,、
何,59,何
か,,か
あっ,31,ある
た,25,た
の,63,の
か,,か
、,9,、
二,48,二
年,53,年
まえ,31,まえる
に,13,に
此,38,*
の,24,の
市,38,市
に,13,に
来,31,来る
た,25,た
とき,66,とき
は,16,は
、,9,、
夜,67,夜
でも,21,でも
皆,59,皆
が,13,が
歌,38,歌
を,13,を
うたっ,31,うたう
て,18,て
、,9,、
まち,38,まち
は,16,は
賑やか,40,賑やか
で,25,だ
あっ,25,ある
た,25,た
筈,63,筈
だ,25,だ
が,18,が
、,9,、
と,14,と
質問,36,質問
し,31,する
た,25,た
%,0.25
若い衆,38,若い衆
は,16,は
、,9,、
首,38,首
を,13,を
振っ,31,振る
て,18,て
答え,31,答える
なかっ,25,ない
た,25,た
%,0
しばらく,35,しばらく
歩い,31,歩く
て,18,て
老爺,38,老爺
に,13,に
逢い,31,逢う
、,9,、
こんど,67,こんど
は,16,は
もっと,34,もっと
、,9,、
語勢,38,語勢
を,13,を
強く,10,強い
し,31,する
て,18,て
質問,36,質問
し,31,する
た,25,た
%,0.0
老爺,38,老爺
は,16,は
答え,31,答える
なかっ,25,ない
た,25,た
%,0
メロス,38,*
は,16,は
両手,38,両手
で,13,で
老爺,38,老爺
の,24,の
からだ,38,からだ
を,13,を
ゆすぶっ,31,ゆすぶる
て,18,て
質問,36,質問
を,13,を
重ね,31,重ねる
た,25,た
%,0.0
老爺,38,老爺
は,16,は
、,9,、
あたり,38,あたり
を,13,を
はばかる,31,はばかる
低,30,低
声,38,声
で,13,で
、,9,、
わずか,35,わずか
答え,31,答える
た,25,た
%,0
#
